58,46,62,74,58,61,48,45,58,41,41,10,14,10,13,14,46,55,29,34,58,50,41,65,50,54,49,40,61,45,48,4
79,28,71,62,63,62,62,53,64,66,49,6,14,9,15,8,47,73,17,55,57,58,11,60,58,64,10,57,77,75,52,10
34,79,33,46,47,71,61,44,50,33,53,11,8,8,8,14,77,66,75,51,69,39,81,71,39,73,76,59,55,86,55,1
75,36,56,66,55,60,42,44,54,69,42,15,12,9,9,13,66,65,18,56,37,59,16,48,59,57,15,47,76,57,46,13
62,57,58,64,45,53,39,35,45,31,24,10,7,7,7,10,57,63,43,38,47,32,55,49,32,40,57,37,65,64,49,1
87,62,85,70,63,62,64,67,67,56,66,14,10,10,9,7,48,69,64,64,61,58,56,64,58,71,58,59,85,61,63,6
77,65,82,75,85,87,88,87,83,82,86,15,14,15,15,5,62,54,55,91,80,80,25,84,80,86,30,91,75,70,86,10
66,73,43,50,53,58,60,47,53,47,32,8,16,7,11,16,67,75,73,42,65,53,75,67,53,68,70,50,55,73,42,9
53,51,50,34,63,54,35,58,60,69,30,8,10,9,14,9,73,44,18,63,35,70,11,54,70,75,22,61,69,87,46,13
84,45,70,74,52,60,53,47,56,51,40,9,11,12,6,8,52,52,22,48,48,51,21,51,51,55,19,52,82,74,47,13
67,39,54,64,62,53,61,49,65,64,41,5,12,13,14,12,48,42,31,41,55,52,28,60,52,65,26,50,69,57,52,13
72,69,72,73,73,69,49,71,63,45,69,13,13,8,13,7,55,66,63,61,75,63,49,73,63,65,55,42,70,70,69,4
69,59-7,74,63,41,40,18,22,37,26,14,11,10,6,6,11,61,74,58-3,14,41,24,62-4,54,24,31,62,15,70,76,46,1
85,58,74,76,55,56,50,56,58,29,29,8,11,14,12,10,36,68,60,39,45,45,62,52,45,44,65,33,86,65,44,9
68,85,50,62,52,69,34,40,40,34,21,8,12,13,11,8,80,89,77,23,65+10,25,79,54,25,24,78,19,55,76,38,1
78,53,82,67,70,71,73,67,64,65,65,8,14,15,16,10,49,59,62,68,67,68,53,68,68,74,58,63,75,66,72,4
74,65,72,71,68,71,67,41,68,39,36,9,8,11,11,9,66,76,72,55,61,58,72,66,58,63,70,32,75,73,59,1
76,75,75,67,67,64,67,45,61,35,61,9,14,8,11,7,63,73,72,28,59,53,70,61,53,65,70,26,65,66,59,5
72,59,57,58,65,56,64,50,59,54,62,11,7,10,13,8,38,69,22,59,55,59,30,59,59,61,34,56,73,72,51,10
75,65,76,66,60,59,58,45,42,39,60,10,7,7,9,13,52,77,68,49,52,53,61,59,53,60,60,40,78,70,44,1
57,48,68,63,62,59,44,42,52,62,30,1,1,1,1,1,63,79,15,50,36,67,18,54,67,56,14,58,68,76,58,13
68,68,67,66,44,58,22,26,43,35,20,6,5,9,11,8,68,84,61,24,45,28,69,53,28,44,70,31,68,76,30,1
