55,90,29,61,54,64,42,40,48,44,46,15,11,11,6,6,71,85,71,44,66,40,70,62,40,56,68,32,51,82,44,1
65,50,41,64,42,54,29,37,35,22,35,9,11,7,12,7,58,70,59,25,30,30,64,49,30,48,66,28,63,57,33,1
77,75,67,54,65,48,51,54,59,24,24,7,12,11,10,9,73,81,67,37,60,31,64,59,31,48,63,27,79,79,43,1
87,45,92,88,75,70,73,84,74,73,60,15,11,13,12,10,67,74,45,69,70,70,25,76,70,61,32,77,85,42,68,10
65,33,66,70,52,43,33,41,58,61,33,10,14,11,10,7,56,67,25,51,28,51,14,50,51,64,23,40,65,66,44,13
69,82,67,63,65,65,40,35,53,37,37,14,12,9,14,15,69,81,74,48,66,39,72,71,39,68,74,36,73,76,53,4
86,69,79,77,83,79,82,78,79,63,85,5,9,7,14,15,75,82,85,83,80,77,81,83,77,83,83,68,86,69,78,4
42,77,51,44,52,76,42,43,48,23,52,6,16,10,10,8,71,57,72,31,58,29,72,60,29,59,72,49,53,82,51,1
79,44,78,85,76,61,70,67,74,70,72,11,14,6,9,10,40,55,33,64,65,62,27,71,62,71,23,64,77,62,64,0
59,22,51,77,64,54,67,61,58,58,51,8,7,6,10,5,44,42,22,52,52,46,32,57,46,58,21,52,68,34,57,11
78,65,91,77,80,78,75,76,76,82,75,14,14,7,11,9,79,81,44,77,64,86,22,78,86,79,18,79,78,61,78,13
55,85,33,32,51,61,35,34,49,26,38,7,16,9,14,9,76,79,69,54,53,33,68,55,33,52,66,37,55,90,51,1
36,76,59,48,61,71,63,62,56,59,61,13,10,11,16,7,69,61,67,48,62,39,66,64,39,63,61,61,50,70,50,4
66,23,64,73,58,53,54,46,57,53,40,7,6,9,7,9,33,45,26,55,58,47,15,61,47,56,28,48,59,52,58,0
55,80,55,50,52,55,32,31,29,18,32,7,11,12,15,7,65,65,54,22,31,29,63,41,29,43,60,15,63,81,29,1
66,67,75,69,65,59,50,61,67,59,66,15,9,16,9,15,55,67,38,58,45,66,24,61,66,62,17,55,63,60,57,13
71,59,70,59,60,52,58,39,43,37,38,14,11,14,8,8,54,73,49,40,60,48,63,67,48,58,55,44,72,70,46,0
81,74,86,71,65,60,66,56,69,45,40,8,15,15,10,13,52,80,57,45,53,54,68,68,54,59,66,40,88,70,58,5
62,28,70,67,64,52,57,46,65,63,42,11,12,14,7,11,42,43,17,46,44,53,27,52,53,72,27,50,66,63,54,11
72,69,79,75,79,72,72,70,79,62,64,7,9,8,7,7,64,65,70,76,76,76,60,80,76,78,68,69,76,70,76,2
