87,92,75,73,84,74,73,15,45,69,70,25,76,32,77,85,42,68,10
75,75,60,49,57,67,61,5,12,58,49,22,55,23,51,77,49,42,13
67,52,53,62,43,48,31,10,67,30,43,53,55,60,39,67,61,46,6
69,63,66,73,57,55,31,8,68,33,62,69,65,72,42,69,72,46,1
74,73,82,70,78,80,82,12,18,81,64,18,72,20,72,74,75,72,13
68,83,63,57,55,60,54,8,51,55,63,49,66,56,46,70,49,58,10
69,85,59,51,56,58,43,9,39,52,56,39,63,43,49,66,48,54,0
68,57,54,42,41,53,54,13,49,43,59,46,68,62,48,67,65,57,13
69,67,56,36,38,49,60,14,23,53,34,29,52,13,61,65,71,23,13
59,64,60,51,43,59,40,7,64,33,63,67,65,63,41,62,71,47,4
65,66,70,70,57,62,44,16,73,58,66,72,67,74,33,68,76,52,9
75,69,73,66,67,75,68,14,18,69,64,32,68,28,70,74,57,65,3
71,75,76,62,60,76,58,7,49,51,65,39,70,44,54,74,76,69,0
77,70,68,65,61,67,62,6,66,57,61,63,65,65,63,79,78,60,5
49,67,72,69,75,64,44,8,65,70,79,62,72,68,65,39,66,68,4
70,82,60,49,45,60,37,10,42,49,60,45,61,48,36,65,43,56,4
51,33,63,30,28,42,20,15,82,62,61,81,76,82,29,76,94,30,1
87,82,78,68,63,77,66,15,36,69,60,17,75,26,70,88,66,64,7
71,78,69,64,43,68,64,10,25,63,60,38,63,40,41,72,51,60,6
53,46,40,45,24,38,20,11,45,22,35,49,45,55,25,60,54,33,9
61,59,55,33,46,59,61,6,12,47,40,19,48,17,53,53,79,51,7
75,81,62,50,53,66,53,7,51,54,57,49,59,38,43,80,59,63,0
64,52,58,52,47,59,41,12,63,36,55,58,57,60,23,60,69,34,5
66,59,63,53,56,62,40,11,58,45,65,62,68,61,48,62,59,59,4
67,57,54,41,49,52,51,7,13,48,43,13,48,12,43,69,56,64,0
57,65,65,63,58,67,47,10,62,55,66,58,80,64,58,50,73,69,0
78,74,64,65,26,67,62,12,16,52,59,22,62,18,48,77,70,66,0
60,63,65,58,61,58,55,11,57,57,60,45,65,46,49,68,67,66,2
82,80,57,63,42,54,45,13,21,32,44,24,55,33,39,76,44,54,6
53,53,35,40,27,30,24,13,60,30,50,63,55,62,35,61,91,30,1
86,84,71,65,68,76,66,16,31,73,58,29,66,28,67,90,34,63,0
75,65,65,51,51,62,45,10,54,62,58,60,65,57,46,77,57,53,2
84,91,83,73,80,85,84,6,44,69,68,28,77,26,76,83,57,76,13
90,66,61,58,35,53,27,10,52,29,53,59,58,61,28,88,59,39,9
70,45,41,27,29,31,28,9,57,27,41,59,46,58,27,71,77,40,9
79,66,63,56,29,62,59,9,24,58,50,18,58,17,49,75,74,60,5
62,61,62,49,46,60,58,12,26,67,41,19,62,31,58,66,63,48,11
83,80,75,75,71,76,68,9,29,74,61,24,71,30,64,79,58,68,6
73,82,63,52,51,60,53,16,73,61,59,70,65,76,47,65,70,60,2
85,88,75,62,75,75,65,13,32,74,73,28,80,24,65,86,42,72,11
79,78,55,43,45,54,33,8,22,35,40,24,46,32,42,80,49,52,10
44,65,74,67,71,65,58,12,78,72,75,69,80,73,56,32,75,75,2
70,61,48,33,32,46,50,7,17,46,31,16,42,13,44,71,58,35,13
64,67,76,79,66,75,41,14,77,63,75,76,75,76,45,65,78,67,5
69,77,61,57,58,67,57,7,25,45,58,35,63,29,59,66,42,60,10
56,59,63,44,27,58,33,8,59,35,62,65,67,63,36,65,70,67,2
71,70,62,65,66,68,63,9,50,51,57,34,60,41,36,72,57,49,10
82,80,62,64,60,69,62,15,45,58,52,41,64,52,56,81,45,61,6
49,54,76,39,68,66,78,14,19,68,35,13,65,12,70,68,86,42,13
85,76,63,59,60,74,68,11,34,62,40,41,64,30,63,87,79,71,6
72,60,66,52,34,55,24,7,71,28,66,75,68,73,32,74,79,49,1
68,83,66,59,61,66,39,12,43,45,63,46,67,59,39,65,47,62,0
63,44,49,27,27,46,41,10,69,33,55,71,59,68,40,60,81,48,1
66,76,77,83,64,78,72,11,59,78,73,55,78,64,83,65,61,74,4
74,76,73,68,57,72,73-1,9,28,65,62,23,74,48,61,76,73,70,10
84,78,68,60,57,68,66,8,23,65,49,21,64,18,65,75,64,49,11
77,72,62,57,49,63,31,7,56,34,55,62,58,60,34,78,63,52,5
79,89,71,35,46,72,75,15,24,75,32,19,64,13,55,83,70,70,6
73,67,68,67,73,66,62,11,46,66,66,45,70,51,68,74,70,66,11
81,91,70-1,66-2,63,78-1,58-2,9,36-10,59,56,22,77,31,61,81,33,67-1,4
83,61,62,62,42,62,63,15,52,56,58,48,60,48,44,83,91,56,13
69,68,67,67,60,63,45,16,69,63,64,69,65,69,41,71,78,50,5
67,52,64,44,42,60,56,14,66,59,66,54,73,61,39,60,67,67,4
70,56,71,45,39,68,57,7,65,49,68,49,71,55,37,68,68,61,9
62,65,53,48,19,48,26,15,64,32,57,58,64,63,30,59,83,54,1
70,68,65,68,75,56,57,10,58,68,58,65,66,62,47,72,57,62,5
67,72,66,74,76,72,52,9,58,60,64,20,71,36,50,64,58,66,10
36,53,53,58,37,49,28,10,67,36,56,72,56,70,29,55,86,44,9
63,65,61,52,47,61,69,11,24,58,47,20,56,22,59,51,88,39,13
79,74,75-2,71,75,73-2,71,15,68,73,68,59,74-2,55,76,75,68,71-2,4
81,62,73,58,64,71,77,12,38,62,59,28,69,32,69,78,41,61,13
68,64,67,62,44,66,47,11,68,61,65,69,68,62,42,70,60,45,4
77,78,72,69,74,69,56,14,41,69,72,37,75,47,70,67,56,66,0
30,64,54,54,46,41,31,10,63,37,64,62,52,61,28,30,72,46,1
78,86,79,73,72,76,66,14,77,59,74,75,81,71,63,75,66,80,2
35,32,50,36,48,45,37,11,68,50,50,70,60,68,31,39,80,49,1
73,71,74,68,75,74,67,7,60,74,68,58,73,71,57,69,77,69,4
67,73,65,49,68,61,51,8,66,45,53,49,68,35,49,72,67,59,4
72,71,58,58,56,57,59,15,48,58,45,27,55,25,61,68,70,61,13
83,81,66,69,75,73,66,13,16,74,60,34,64,40,50,82,59,69,10
52,60,63,29,64,51,36,11,64,71,68,70,65,64,34,51,76,59,1
68,67,54,34,48,53,62,9,20,61,31,16,49,23,55,64,74,38,13
32,39,43,26,29,24,44,16,56,48,55,66,56,63,38,48,76,68,1
74,80,80,70,73,75,67,14,58,75,74,60,81,51,61,69,69,79,10
78,81,64,55,57,64,29,14,64,32,61,59,64,60,40,77,47,46,10
73,72,73,75,74,76,66,13,40,75,63,37,67,35,68,74,84,69,6
57,58,60,68,63,53,52,11,58,55,57,65,60,59,55,67,65,47,5
75,76,74,69,74,75,72,6,44,71,60,28,69,33,70,75,73,69,13
74,76,68,52,69,63,57,8,58,65,62,41,66,51,41,73,65,66,2
74,64,55,49,51,52,39,6,29,30,55,38,61,45,43,65,66,62,4
52,46,60,31,21,36,36,16,73,27,51,65,54,68,38,51,83,45,1
41,40,47,27,45,39,36,8,69,24,61,71,60,67,25,45,92,32,1
82,75,66,64,67,62,42,7,62,40,59,62,66,63,46,81,57,51,11
71,63,77,65,61,72,75,10,40,77,62,26,63,29,58,75,71,61,10
65,58,54,29,35,54,64,8,18,52,30,18,44,14,40,71,48,49,13
81,86,72,62,63,71,55,15,68,67,73,60,73,64,57,76,68,70,4
67,62,50,51,53,44,51,14,53,58,48,41,53,42,38,68,48,52,4
32,29,49,37,49,39,38,15,73,61,59,71,62,68,39,38,80,49,1
78,79,65,63,59,66,32,13,57,43,59,60,61,65,44,73,56,48,9
77,77,53,31,38,51,55,11,23,41,44,15,49,11,36,76,59,45,13
68,60,51,25,22,50,23,3,64,40,47,68,51,70,34,68,67,32,1
58,44,45,32,30,26,17,6,52,24,41,45,49,54,19,64,69,32,1
64,72,61,54,45,64,59,13,34,56,56,34,63,35,54,67,41,58,0
49,46,46,22,20,37,18,10,59,32,41,62,51,63,26,61,77,29,1
76,80,67,62,76,67,32,16,67,59,68,62,67,69,21,70,62,63,5
56,47,65,42,28,51,40,14,65,12,61,67,72,65,14,62,80,56,1
69,66,64,65,43,64,44,14,63,58,63,62,66,69,50,63,63,59,8
73,73,70,61,56,74,58,13,26,67,58,44,63,34,54,75,59,53,13
73,72,62,40,57,58,52,6,66,59,56,63,66,61,43,78,71,56,2
68,58,62,63,32,59,34,16,57,33,50,57,64,60,33,61,58,40,9
68,72,73,62,70,72,71,13,22,70,58,29,61,37,68,63,36,69,13
39,41,64,53,47,56,39,7,68,53,59,69,66,64,41,38,78,55,4
55,39,70,65,66,65,79,6,44,70,49,26,73,41,78,53,81,71,13
52,56,61,54,49,54,31,9,62,34,56,70,60,67,31,50,82,46,8
65,66,56,39,37,53,56,13,28,45,35,29,54,35,33,60,62,40,13
54,34,29,25,27,21,17,14,52,25,24,47,35,52,23,51,53,33,1
67,67,62,47,54,70,71,16,42,60,57,45,68,42,63,77,64,23,10
70,72,53,27,37,46,56,7,14,47,31,15,39,11,38,69,55,44,13
67,61,51,55,41,53,37,5,56,38,48,53,52,49,48,71,57,54,6
69,76,74,67,65,66,47,8,79,72,72,68,73,70,58,68,69,66,2
79,83,67,63,66,70,32,8,68,53,63,58,66,62,46,78,58,57,8
72,68,62,47,43,64,36,10,52,37,68,25,70,24,40,69,55,59,0
75,87,63,56,52,68,55,9,24,51,58,33,62,34,47,77,49,61,10
66,65,71,40,58,68,74,12,29,63,45,25,61,17,65,75,74,58,13
80,75,77,73,75,80,64,8,33,62,70,31,73,26,64,80,63,78,0
74,74,64,57,48,67,58,16,25,48,55,28,63,33,47,75,58,60,4
68,50,52,34,40,40,34,8,77,23,65+10,79,54,78,19,55,76,38,1
78,81,72,73,77,71,45,9,44,61,76,31,66,22,47,67,61,58,4
48,48,64,51,52,49,16,9,84,39,56,78,59,76,27,38,73,31,1
75,74,77,46,58,74,89,13,22,70,54,17,73,21,81,80,74,64,13
71,58,44,33,40,48,53,14,14,50,32,12,50,15,43,61,73,47,13
79,74,62,63,42,67,63,6,33,56,59,20,62,31,49,75,58,59,11
68,36,57,24,27,58,23,9,61,21,34,51,63,52,20,68,82,27,1
70,73,60,60,51,64,52,6,58,63,57,57,59,55,42,70,56,53,9
62,48,46,29,32,38,28,16,60,22,29,58,47,66,38,52,58,36,1
74,58,42,47,30,50,31,14,57,30,23,46,28,53,26,76,65,35,9
77,81,62,63,56,72,61,10,33,61,41,45,61,25,62,69,57,47,10
88,89,73,65,57,71,58,14,21,63,55,22,66,23,63,90,46,60,11
67,53,57,66,32,48,25,7,67,24,67,74,65,78,22,69,76,39,1
66,66,60,58,37,59,55,12,22,59,38,20,54,40,45,67,68,51,10
64,73,75,74,71,70,68,12,73,74,75,67,77,69,76,67,72,80,0
68,59,65,50,47,63,63,9,75,65,61,70,67,69,60,76,81,63,2
66,68,68,42,45,64,45,7,65,56,64,44,68,51,48,67,61,56,4
78,79,72,66,68,74,67,9,43,73,58,31,64,34,74,77,72,65,7
85,84,50,30,40,50,63,7,11,46,30,20,47,13,38,88,71,47,10
85,70,65,43,44,64,65,14,13,51,46,14,59,19,49,86,59,58,13
31,42,81,66,67,65,54,10,78,71,83,68,83,74,76,32,83,74,2
64,51,45,19,24,42,29,12,54,33,45,52,47,52,22,68,80,37,1
69,70,68,68,65,64,60,14,58,68,63,45,69,53,52,69,50,67,6
64,56,53,45,39,56,51,6,18,35,45,20,51,24,39,59,33,47,7
59,51,52,52,30,54,28,6,51,28,47,51,53,55,25,49,58,42,9
78,75,64,63,52,69,44,16,51,58,51,55,61,61,30,75,69,58,10
52,53,63,43,35,58,36,6,68,35,66,64,71,61,40,53,84,61,1
52,53,43,31,32,40,59,9,13,50,25,12,41,11,42,53,51,42,13
63,61,44,23,23,36,31,12,66,22,51,61,46,55,25,67,71,32,1
69,41,60,41,37,58,51,14,38,46,58,39,65,45,39,69,65,66,4
78,69,61,56,33,55,60,6,18,44,32,11,54,14,64,83,80,49,13
70,75,65,57,49,66,52,16,40,58,62,47,70,46,53,76,66,64,0
92,89,71,64,72,73,70,13,23,72,52,19,60,15,66,92,38,56,3
56,63,79,57,68,73,79,7,61,72,64,28,74,38,75,67,82,58,13
43,66,80,42,70,76,76,11,11,50,66,18,72,14,60,67,90,72,13
68,62,65,55,60,70,45,10,28,48,72,45,68,52,51,64,32,58,4
91,83,59,32,36,61,68,15,14,51,40,12,55,12,53,87,65,55,13
68,53,57,25,32,57,63,12,10,48,30,17,48,19,41,69,54,47,13
