69,71,60,56,68,69,10,15,18,43,19,66,68,84,64,13
67,71,69,71,72,66,14,11,42,68,29,70,67,56,71,0
79,78,63,68,63,47,8,6,64,45,62,64,78,45,61,2
67,72,66,64,62,50,6,14,69,69,75,68,66,72,62,9
70,68,63,54,64,43,16,8,70,65,67,72,67,79,62,4
70,73,54,61,59,36,13,12,59,57,61,59,78,70,44,9
69,71,66,60,61,43,15,14,60,58,67,66,70,62,45,5
66,57,64,54,45,39,13,12,70,62,70,71,74,75,51,1
69,78,80,72,78,74,7,7,42,67,29,76,66,62,76,6
49,59,56,56,52,43,10,9,58,56,56,57,53,62,55,5
75,82,67,48,76,52,12,15,24,62,24,66,84,59,69,0
74,68,60,62,71,61,10,8,35,50,32,55,77,53,58,11
83,79,72,74,75,66,7,12,45,73,25,77,77,64,76,0
77,83,70,68,68,69,15,7,27,49,26,65,77,57,65,13
78,49,34,35,35,21,15,11,55,34,55,40,77,79,28,1
69,78,63,61,61,54,7,7,62,58,59,61,69,70,55,9
56,60,69,70,64,36,7,6,77,65,81,69,60,74,56,5
65,70,55,60,45,45,8,16,64,58,70,60,61,73,73,5
78,70,62,65,67,55,10,15,32,55,29,62,82,62,51,0
74,74,72,64,73,68,8,13,49,66,44,70,76,74,68,13
86,69,60,61,65,34,10,14,59,55,61,58,90,69,52,10
72,73,68,63,65,48,12,10,41,60,34,70,74,56,66,6
83,87,65,38,68,43,14,13,49,52,43,62,80,65,67,0
51,60,59,39,55,30,6,14,73,64,69,69,46,70,46,1
77,88,66,63,69,55,10,11,35,60,33,64,77,32,59,6
78,81,69,71,66,48,14,11,73,51,66,67,74,64,59,5
35,41,55,40,31,18,16,6,68,41,69,51,63,83,30,1
66,72,75,64,69,67,11,8,15,52,13,66,68,76,55,13
73,70,49,36,46,53,7,9,15,30,12,43,66,48,42,13
66,60,56,46,54,39,13,10,46,54,42,58,64,56,55,0
68,75,69,60,70,63,16,8,27,52,22,62,66,43,60,10
79,67,67,59,70,59,6,14,24,44,24,61,80,69,59,6
44,62,53,27,43,22,13,7,56,46,65,53,48,75,41,4
83,78,75,65,78,68,14,8,20,65,22,69,86,53,69,10
66,63,58,51,56,30,11,12,54,32,60,55,60,63,36,5
69,76,63,58,61,52,11,14,63,62,46,64,66,51,65,6
77,63,59,54,59,40,16,12,62,57,54,59,75,82,52,10
80,79,72,71,60,29,13,8,71+3,55,72+3,64,89,74,52,1
65,82,46,39,48,25,15,8,41,46,43,53,63,46,43,2
81,86,65,66,69,45,8,15,57,53,68,68,88,70,58,5
71,76,55,60,57,42,11,10,52,55,56,61,67,57,50,5
73,79,70,68,73,70,7,15,40,59,32,65,82,68,57,6
42,33,63,40,55,61,6,8,22,51,33,63,42,86,68,13
50,59,60,33,54,58,10,15,18,31,29,52,63,71,49,13
49,30,41,32,24,28,8,13,55,33,59,44,48,80,34,1
68,61,68,57,66,65,14,12,38,59,30,67,64,75,69,13
84,74,77,69,75,68,14,7,47,67,32,71,82,72,66,6
77,58,77,36,57,40,11,14,82,76,84,75,81,85,56,1
52,39,56,54,45,40,13,7,67,54,64,60,56,89,39,1
62,56,54,52,51,33,10,8,45,34,48,44,55,42,36,9
72,66,45,48,42,29,13,5,48,42,52,55,70,53,40,5
77,78,58,59,46,23,11,14,60,42,63,54,75,65,31,9
64,57,52,55,48,20,8,9,61,27,62,48,64,75,38,9
78,72,71,61,77,51,15,9,74,75,76,77,81,68,77,0
83,82,58,52,64,62,12,9,18,42,14,55,83,59,48,13
81,82,66,55,65,68,8,12,23,57,14,64,82,69,51,13
50,52,68,50,59,45,9,7,32,75,46,71,64,53,61,0
60,52,62,34,53,21,5,10,80,64,79,58,65,83,37,1
52,56,53,27,42,59,12,10,26,32,18,44,54,65,52,13
51,59,82,64,72,83,12,5,41,56,26,77,55,90,75,13
51,56,65,42,59,64,13,12,21,51,37,64,45,89,47,4
73,73,72,63,73,69,7,8,59,64,37,69,76,65,73,0
51,40,51,26,46,23,10,10,50,52,56,56,44,63,42,4
73,67,55,43,50,61,7,7,40,41,23,45,63,61,43,13
58,56,55,43,60,47,10,7,22,50,36,51,63,46,50,0
67,74,67,60,69,60,12,8,21,52,27,58,66,62,46,10
35,37,63,63,40,73,10,7,32,41,32,40,41,82,52,13
78,80,76,74,78,72,9,6,37,65,33,73,77,60,78,7
51,48,58,28,36,25,13,7,58,28,64,53,55,71,32,1
75,78,70,57,69,48,15,6,54,65,49,68,73,63,64,4
63,66,56,44,48,48,15,9,51,53,51,52,54,46,47,4
66,68,58,33,61,49,12,10,48,54,43,55,61,65,46,2
61,65,52,40,46,26,13,13,54,54,53,56,63,73,38,1
55,64,51,41,41,32,10,16,61,47,67,49,68,79,51,1
66,68,73,57,67,53,8,15,75,68,67,73,60,70,59,2
68,66,54,49,47,30,15,9,65,56,64,53,69,69,33,1
84,71,55,52,56,28,6,11,47,48,56,51,86,55,49,9
66,62,58,67,67,31,10,9,59,60,65,62,71,63,46,10
67,57,50,46,48,23,13,15,53,27,55,38,62,68,37,5
63,64,69,68,72,59,12,13,38,67,40,71,47,63,73,0
72,72,60,52,60,29,10,8,62,58,61,66,66,58,51,1
64,65,72,65,67,55,8,8,57,75,74,71,71,71,69,4
83,64,67,61,63,38,8,7,69,57,69,70,89,67,49,9
60,76,52,33,47,55,8,6,17,26,13,44,71,78,48,13
69,71,68,57,64,56,6,13,46,40,22,64,73,77,63,0
63,62,59,36,54,31,6,7,44,55,41,58,64,50,53,4
55,60,49,43,46,39,12,7,26,54,34,63,59,56,54,4
81,83,73,72,74,44,12,9,77,66,71,73,69,46,60,9
59,62,60,46,57,26,14,10,75,64,73,68,65,77,40,1
80,74,65,59,62,46,15,15,66,51,65,62,78,78,52,1
70,74,65,62,67,45,12,10,62,60,68,65,77,68,59,9
46,33,55,41,50,41,7,14,72,70,76,66,41,88,43,1
66,68,64,49,66,41,11,8,57,54,48,58,66,60,52,6
63,70,67,58,60,46,12,7,57,70,55,66,66,62,66,0
69,71,59,39,58,63,9,9,23,49,19,55,66,41,52,11
42,48,60,41,42,39,10,8,71,50,74,62,48,87,51,1
73,78,70,66,70,62,13,11,70,70,67,73,70,64,68,4
91,83,70,62,75,66,7,13,22,50,23,62,93,61,63,13
72,71,58,58,57,59,15,12,48,45,27,55,68,70,61,13
62,59,55,39,43,25,15,11,46,47,35,55,54,59,48,2
64,64,63,59,52,64,10,10,31,59,59,67,69,51,59,0
56,66,63,59,57,46,15,10,75,69,73,72,64,68,47,2
80,59,61,64,62,47,11,15,56,54,64,65,85,80,32,9
77,70,68,53,71,62,15,10,21,51,27,56,82,65,56,10
56,60,53,28,30,19,15,15,57,32,59,42,51,67,31,9
37,41,45,24,40,39,12,10,62,49,63,54,52,84,40,1
80,79,69,47,67,64,16,11,14,29,13,54,82,73,47,13
64,61,53,51,51,26,6,6,63,58,62,59,68,71,49,9
33,76,76,78,70,65,8,6,33,77,20,78,29,62,71,0
48,42,35,30,33,20,10,11,52,47,63,42,51,84,29,1
45,52,57,31,54,68,5,13,22,31,21,45,64,83,43,13
52,53,73,68,70,55,16,16,68,71,62,71,35,67,63,2
68,66,57,38,44,18,7,8,49,41,49,56,69,73,33,1
65,74,67,55,64,59,12,11,30,54,18,64,54,48,60,0
78,77,72,70,73,63,8,6,40,56,53,67,78,77,66,7
92,85,75,75,79,71,10,13,21,62,35,74,91,64,69,6
50,31,62,70,60,52,10,15,77,66,76,68,41,86,57,1
78,76,53,59,47,22,15,12,60,53,65,59,73,57,47,1
72,65,72,42,67,42,14,13,76,78,74,72,76,77,64,1
66,76,81,65,84,62,9,15,78,76,70,86,68,71,82,2
60,53,49,12,34,29,8,6,61,48,69,57,48,73,24,1
76,71,68,71,64,58,16,13,67,62,65,66,69,64,63,9
77,72,73,75,73,61,14,7,71,69,62,75,77,72,67,10
81,85,65,52,61,31,13,13,63,63,57,61,73,57,53,9
58,64,74,74,67,45,16,6,80,71,78,74,61,70,61,5
56,60,67,44,64,49,6,8,64,64,66,68,64,68,62,2
36,65,84,73,68,68,12,16,33,75,25,75,53,57,78,4
65,63,59,63,54,47,13,12,61,40,50,59,64,65,40,5
64,46,66,71,63,26,9,11,71,60,75,70,37,85,33,1
62,55,35,28,30,18,12,7,48,35,45,40,58,69,25,1
75,66,57,50,37,40,8,14,72,59,68,64,77,80,45,1
73,79,82,77,81,74,13,13,72,82,68,84,65,64,80,0
64,51,61,55,64,51,11,12,72,72,72,71,63,80,71,10
76,60,76,75,43,46,7,7,62,63,77,69,59,60,45,10
74,83,65,72,67,60,13,13,52,63,33,65,73,76,58,6
76,72,74,76,74,67,9,9,57,72,66,68,74,62,67,9
60,57,62,32,60,68,9,9,24,41,25,59,65,86,53,13
52,53,56,57,47,31,6,14,70,49,75,61,64,92,32,1
67,65,56,30,43,56,7,8,12,33,17,41,68,80,41,13
58,44,45,32,26,17,6,13,52,41,45,49,64,69,32,1
61,58,55,43,38,36,8,9,55,38,65,41,53,73,42,1
80,78,65,68,72,50+2,13,16,21,51,19,63,76,61,59,6
84,79,73,65,77,50,10,10,30,55,18,64,79,46,69,7
70,78,68,61,72,60,9,12,60,66,62,69,69,70,60,6
58,62,32,20,24,12,9,14,61,28,60,32,66,69,27,9
79,81,66,59,67,56,10,9,42,56,39,63,76,56,65,10
37,43,60,43,43,44,12,10,71,61,73,70,37,70,59,5
74,73,71,56,70,73,9,13,56,56,56,69,67,71,67,9
